Freeze Brand,Ear Tag,Breed,Sex,Date Of Birth,Date Of Acquisition,Age when acquired,Purchased From,Date Of Disposal,Disposed Of To,Date Of Death,Manner and Place of Destruction,Location,EID,Age(mths)
2611.0,UK106710402611,HOLSTEIN FRIESIAN,Female,2017-07-24,2018-10-01,1 yrs  3 mths,,,nan,,,CocklePark,982000176126186,45
3087.0,UK107189503087,HOLSTEIN FRIESIAN X,Female,2018-08-24,2018-11-14,0 yrs  3 mths,,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176126339,31
3168.0,UK107189203168,HOLSTEIN FRIESIAN,Female,2018-11-25,2019-03-07,0 yrs  4 mths,,,nan,,,CocklePark,982000176126367,29
3185.0,UK107189503185,HOLSTEIN FRIESIAN,Female,2018-12-18,2019-03-07,0 yrs  3 mths,,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176126375,28
3174.0,UK107189103174,HOLSTEIN FRIESIAN,Female,2019-03-09,2019-03-27,0 yrs  0 mths,,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176126370,25
3196.0,UK107189203196,HOLSTEIN FRIESIAN,Female,2018-12-27,2019-03-27,0 yrs  3 mths,,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176126381,27
3213.0,UK107189503213,HOLSTEIN FRIESIAN,Female,2019-01-22,2019-04-30,0 yrs  3 mths,,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176126389,26
3215.0,UK107189703215,MONTBELIARDE X,Female,2019-01-26,2019-04-30,0 yrs  3 mths,,,nan,,,CocklePark,982000176308688,27
3232.0,UK107189303232,HOLSTEIN FRIESIAN,Female,2019-02-18,2019-04-30,0 yrs  2 mths,,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176126399,26
3235.0,UK107189603235,HOLSTEIN FRIESIAN,Female,2019-02-18,2019-04-30,0 yrs  2 mths,,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176126400,26
3229.0,UK107189703229,HOLSTEIN FRIESIAN X,Female,2019-02-17,2019-05-24,0 yrs  3 mths,,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176126397,26
3243.0,UK107189703243,HOLSTEIN FRIESIAN,Female,2019-02-27,2019-05-24,0 yrs  3 mths,,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176126403,25
3249.0,UK107189603249,HOLSTEIN FRIESIAN,Female,2019-03-09,2019-05-24,0 yrs  2 mths,,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176126404,25
