InternalID,Freeze Brand,Ear Tag,Colour,Breed,Sex,Date Of Birth,Dam's Ear Tag,Date Of Acquisition,Age when acquired,Purchased From,Date Of Disposal,Disposed Of To,Date Of Death,Manner and Place of Destruction,Record 1st Created,Record Edited?,Reason For Change,ReasonForCull,Sire,Location,Age(mths),
209018645,2645,UK106710302645,N/A,HOLSTEIN FRIESIAN,Female,17/10/2017,UK106710201895,17/10/2017,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,08/08/2019,No,,,,,32,
209018646,2653,UK106710402653,N/A,HOLSTEIN FRIESIAN,Female,08/11/2017,UK106710202063,08/11/2017,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,08/08/2019,No,,,,,31,
209018649,2661,UK106710502661,N/A,HOLSTEIN FRIESIAN,Female,30/11/2017,UK106710201916,30/11/2017,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,08/08/2019,No,,,,,30,
209018653,2670,UK106710702670,N/A,HOLSTEIN FRIESIAN,Female,13/12/2017,UK106710102090,13/12/2017,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,08/08/2019,No,,,,,30,
209018656,2679,UK106710202679,N/A,HOLSTEIN FRIESIAN,Female,05/01/2018,UK106710202224,05/01/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,08/08/2019,No,,,,,29,
209468433,,UK106710402681,N/A,HOLSTEIN FRIESIAN,Female,09/01/2018,UK106710201853,09/01/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,08/08/2019,No,,,,,29,
209018658,2683,UK106710602683,N/A,HOLSTEIN FRIESIAN,Female,13/01/2018,UK106710402142,13/01/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,08/08/2019,No,,,,,29,
209018659,2686,UK106710202686,N/A,HOLSTEIN FRIESIAN,Female,16/01/2018,UK106710602256,16/01/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,08/08/2019,No,,Old Age,,,29,
209018660,2688,UK106710402688,N/A,HOLSTEIN FRIESIAN,Female,21/01/2018,UK106710202112,21/01/2018,0 yrs  0 mths,,27/05/2020,linden foods,,,08/08/2019,No,,,,,28,
209018661,2691,UK106710702691,N/A,HOLSTEIN FRIESIAN,Female,22/01/2018,UK106710101922,22/01/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,08/08/2019,No,,,,,28,
209018662,2697,UK106710602697,N/A,HOLSTEIN FRIESIAN,Female,05/02/2018,UK106710301987,05/02/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,08/08/2019,No,,Old Age,,,28,
209018664,2717,UK106710502717,N/A,HOLSTEIN FRIESIAN,Female,21/03/2018,UK106710702264,21/03/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,08/08/2019,No,,Old Age,,,27,
209018665,2719,UK106710702719,N/A,HOLSTEIN FRIESIAN,Female,25/03/2018,UK106710402135,25/03/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,08/08/2019,No,,,,,26,
209018666,2720,UK106710102720,N/A,HOLSTEIN FRIESIAN,Female,25/03/2018,UK106710301420,25/03/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,08/08/2019,No,,,,,26,
