Freeze Brand,Ear Tag,Breed,Sex,Date Of Birth,Date Of Acquisition,Age when acquired,Purchased From,Date Of Disposal,Disposed Of To,Date Of Death,Manner and Place of Destruction,Location,Group,Fqas,EID,Name,Age(mths),Age(days),
,UK106198300921,Aberdeen-Angus,Male,18/04/2016,30/05/2017,1 yrs  1 mths,,03/02/2020,Market,,,,0,,982000176126162,,46,1386,
,UK106710502626,HOLSTEIN FRIESIAN,Female,01/09/2017,01/09/2017,0 yrs  0 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126188,,29,894,
,UK106710602634,HOLSTEIN FRIESIAN,Female,14/09/2017,14/09/2017,0 yrs  0 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126189,,29,881,
,UK106710602641,HOLSTEIN FRIESIAN,Female,06/10/2017,06/10/2017,0 yrs  0 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126191,,28,859,
2645,UK106710302645,HOLSTEIN FRIESIAN,Female,17/10/2017,17/10/2017,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126192,,32,965,
2653,UK106710402653,HOLSTEIN FRIESIAN,Female,08/11/2017,08/11/2017,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126193,,31,943,
2655,UK106710602655,HOLSTEIN FRIESIAN,Female,10/11/2017,10/11/2017,0 yrs  0 mths,,29/11/2019,Market,,,,0,,982000176126194,,24,749,
,UK106710402660,HOLSTEIN FRIESIAN,Female,15/11/2017,15/11/2017,0 yrs  0 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126195,,27,819,
2661,UK106710502661,HOLSTEIN FRIESIAN,Female,30/11/2017,30/11/2017,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126196,,30,921,
2665,UK106710202665,HOLSTEIN FRIESIAN,Female,09/12/2017,09/12/2017,0 yrs  0 mths,,29/11/2019,Market,,,,0,,982000176126197,,24,720,
2666,UK106710302666,HOLSTEIN FRIESIAN,Female,10/12/2017,10/12/2017,0 yrs  0 mths,,29/11/2019,Market,,,,0,,982000176126198,,23,719,
,UK106710402667,HOLSTEIN FRIESIAN,Female,10/12/2017,10/12/2017,0 yrs  0 mths,,23/02/2020,31/377/0042 Nafferton Farm,,,,0,,0,,26,805,
2670,UK106710702670,HOLSTEIN FRIESIAN,Female,13/12/2017,13/12/2017,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126200,,30,908,
2672,UK106710202672,HOLSTEIN FRIESIAN,Female,15/12/2017,15/12/2017,0 yrs  0 mths,,29/11/2019,Market,,,,0,,982000176126201,,23,714,
2679,UK106710202679,HOLSTEIN FRIESIAN,Female,05/01/2018,05/01/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126203,,29,885,
,UK106710402681,HOLSTEIN FRIESIAN,Female,09/01/2018,09/01/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,0,,29,881,
2683,UK106710602683,HOLSTEIN FRIESIAN,Female,13/01/2018,13/01/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126205,,29,877,
2686,UK106710202686,HOLSTEIN FRIESIAN,Female,16/01/2018,16/01/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126206,,29,874,
2688,UK106710402688,HOLSTEIN FRIESIAN,Female,21/01/2018,21/01/2018,0 yrs  0 mths,,27/05/2020,linden foods,,,,0,,982000176126207,,28,857,
2691,UK106710702691,HOLSTEIN FRIESIAN,Female,22/01/2018,22/01/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126208,,28,868,
2697,UK106710602697,HOLSTEIN FRIESIAN,Female,05/02/2018,05/02/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126209,,28,854,
2710,UK106710502710,HOLSTEIN FRIESIAN,Female,16/03/2018,16/03/2018,0 yrs  0 mths,,,,01/11/2018,Warrens,,0,,982000176126210,,7,230,
