Ear Tag,Breed,Sex,Date Of Birth,Date Of Disposal,Disposed Of To,Date Of Death,Age(mths),
UK106198300921,Aberdeen-Angus,Male,18/04/2016,03/02/2020,Market,,46,
UK106710502626,HOLSTEIN FRIESIAN,Female,01/09/2017,12/02/2020,31/377/0042 Nafferton Farm,,29,
UK106710602634,HOLSTEIN FRIESIAN,Female,14/09/2017,12/02/2020,31/377/0042 Nafferton Farm,,29,
UK106710602641,HOLSTEIN FRIESIAN,Female,06/10/2017,12/02/2020,31/377/0042 Nafferton Farm,,28,
UK106710302645,HOLSTEIN FRIESIAN,Female,17/10/2017,08/06/2020,31/377/0042 Nafferton Farm,,32,
UK106710402653,HOLSTEIN FRIESIAN,Female,08/11/2017,08/06/2020,31/377/0042 Nafferton Farm,,31,
UK106710602655,HOLSTEIN FRIESIAN,Female,10/11/2017,29/11/2019,Market,,24,
UK106710402660,HOLSTEIN FRIESIAN,Female,15/11/2017,12/02/2020,31/377/0042 Nafferton Farm,,27,
UK106710502661,HOLSTEIN FRIESIAN,Female,30/11/2017,08/06/2020,31/377/0042 Nafferton Farm,,30,
UK106710202665,HOLSTEIN FRIESIAN,Female,09/12/2017,29/11/2019,Market,,24,
UK106710302666,HOLSTEIN FRIESIAN,Female,10/12/2017,29/11/2019,Market,,23,
UK106710402667,HOLSTEIN FRIESIAN,Female,10/12/2017,23/02/2020,31/377/0042 Nafferton Farm,,26,
UK106710702670,HOLSTEIN FRIESIAN,Female,13/12/2017,08/06/2020,31/377/0042 Nafferton Farm,,30,
UK106710202672,HOLSTEIN FRIESIAN,Female,15/12/2017,29/11/2019,Market,,23,
UK106710202679,HOLSTEIN FRIESIAN,Female,05/01/2018,08/06/2020,31/377/0042 Nafferton Farm,,29,
UK106710402681,HOLSTEIN FRIESIAN,Female,09/01/2018,08/06/2020,31/377/0042 Nafferton Farm,,29,
UK106710602683,HOLSTEIN FRIESIAN,Female,13/01/2018,08/06/2020,31/377/0042 Nafferton Farm,,29,
UK106710202686,HOLSTEIN FRIESIAN,Female,16/01/2018,08/06/2020,31/377/0042 Nafferton Farm,,29,
UK106710402688,HOLSTEIN FRIESIAN,Female,21/01/2018,27/05/2020,linden foods,,28,
UK106710702691,HOLSTEIN FRIESIAN,Female,22/01/2018,08/06/2020,31/377/0042 Nafferton Farm,,28,
