Freeze Brand,Ear Tag,Breed,Sex,Date Of Birth,Date Of Acquisition,Purchased From,Date Of Disposal,Disposed Of To,Date Of Death,Location,Group,Fqas,EID,Name,Age(mths),
,UK106386401081,Holstein,Female,01/05/2008,27/05/2009,,,,13/08/2019,,0,,0,,137,
287,UK107189101452,HOLSTEIN FRIESIAN,Female,04/04/2010,05/04/2011,,,,,,0,,0,,134,
141,UK107189101494,HOLSTEIN FRIESIAN,Female,09/07/2010,05/04/2011,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,982000176144064,,116,
191,UK107189201369,HOLSTEIN FRIESIAN,Female,17/10/2009,12/04/2011,,,,27/11/2019,,0,,0,,123,
21,UK107189501379,HOLSTEIN FRIESIAN,Female,10/11/2009,12/04/2011,,30/07/2020,Linden Foods,,,0,,0,,130,
450,UK107189701745,MONTBELIARDE X,Female,30/11/2011,30/11/2011,Born in Herd,11/11/2020,Linden Foods,,,0,,0,,108,
56,UK107189101781,Holstein,Female,07/02/2012,07/02/2012,,,,29/10/2019,,0,,0,,94,
13,UK107189301804,Holstein,Female,15/03/2012,15/03/2012,,,,30/03/2020,,0,,982000176144183,,97,
424,UK107189601604,MONTBELIARDE X,Female,21/02/2011,19/04/2012,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,982000176144155,,109,
216,UK107189501869,Holstein,Female,01/08/2012,01/08/2012,,,,13/11/2020,,0,,982000176144335,,100,
26,UK107189701892,HOLSTEIN FRIESIAN,Female,28/09/2012,28/09/2012,,06/12/2019,SH2056 QUARRY COTTAGES,,,0,,982000176144158,,87,
27,UK107189501939,HOLSTEIN FRIESIAN,Female,15/12/2012,15/12/2012,,11/11/2020,Linden Foods,,,0,,982000176144165,,96,
45,UK107189701941,HOLSTEIN FRIESIAN,Female,18/12/2012,18/12/2012,,24/04/2020,Linden Foods,,,0,,982000176144061,,89,
145,UK107189201985,HOLSTEIN FRIESIAN,Female,02/03/2013,02/03/2013,,,,20/10/2020,,0,,982000176144083,,92,
