InternalID,Freeze Brand,Ear Tag,Colour,Breed,Sex,Date Of Birth,Dam's Ear Tag,Date Of Acquisition,Age when acquired,Purchased From,Date Of Disposal,Disposed Of To,Date Of Death,Manner and Place of Destruction,Record 1st Created,Record Edited?,Reason For Change,ReasonForCull,Sire,Location,Age(mths),
209018406,287,UK107189101452,N/A,HOLSTEIN FRIESIAN,Female,04/04/2010,UK107189701045,05/04/2011,1 yrs  0 mths,,,,,,08/08/2019,No,,,,,134,
209018405,21,UK107189501379,N/A,HOLSTEIN FRIESIAN,Female,10/11/2009,UK107189700590,12/04/2011,1 yrs  5 mths,,30/07/2020,Linden Foods,,,08/08/2019,No,,,,,130,
209227912,450,UK107189701745,N/A,MONTBELIARDE X,Female,30/11/2011,UK107189101298,30/11/2011,0 yrs  0 mths,Born in Herd,11/11/2020,Linden Foods,,,11/03/2020,No,na,,,,108,
209018426,216,UK107189501869,N/A,Holstein,Female,01/08/2012,UK107189201124,01/08/2012,0 yrs  0 mths,,,,13/11/2020,Warrens Deadstock,08/08/2019,No,,Mastitis,,,100,
209018428,27,UK107189501939,N/A,HOLSTEIN FRIESIAN,Female,15/12/2012,UK107189501526,15/12/2012,0 yrs  0 mths,,11/11/2020,Linden Foods,,,08/08/2019,No,,,,,96,
209018429,45,UK107189701941,N/A,HOLSTEIN FRIESIAN,Female,18/12/2012,UK107189301545,18/12/2012,0 yrs  0 mths,,24/04/2020,Linden Foods,,,08/08/2019,No,,,,,89,
209018430,145,UK107189201985,N/A,HOLSTEIN FRIESIAN,Female,02/03/2013,UK107189201383,02/03/2013,0 yrs  0 mths,,,,20/10/2020,Warrens Deadstock,08/08/2019,No,,Feet and Legs,,,92,
209018431,183,UK107189301993,N/A,HOLSTEIN FRIESIAN,Female,23/03/2013,UK107189400720,23/03/2013,0 yrs  0 mths,,24/04/2020,Linden Foods,,,08/08/2019,No,,,,,86,
209018413,436,UK107189201628,N/A,HOLSTEIN FRIESIAN,Female,02/04/2011,UK107189600995,02/05/2013,2 yrs  1 mths,,24/04/2020,Linden Foods,,,08/08/2019,No,,,,,110,
209018414,4,UK107189401679,N/A,HOLSTEIN FRIESIAN,Female,11/07/2011,UK107189400867,02/05/2013,1 yrs  10 mths,,,,,,08/08/2019,No,,,,,119,
209018415,2,UK107189601681,N/A,HOLSTEIN FRIESIAN,Female,14/07/2011,UK107189400349,02/05/2013,1 yrs  10 mths,,24/04/2020,Linden Foods,,,08/08/2019,No,,,,,106,
209018433,148,UK107189102026,N/A,HOLSTEIN FRIESIAN X,Female,10/06/2013,UK107189201019,10/06/2013,0 yrs  0 mths,,,,,,08/08/2019,No,,,,,95,
209018437,231,UK107189602038,N/A,HOLSTEIN FRIESIAN,Female,05/07/2013,UK107189401322,05/07/2013,0 yrs  0 mths,,,,07/01/2021,Warrens Deadstock,08/08/2019,No,,,,,91,
209018445,126,UK107189502114,N/A,HOLSTEIN FRIESIAN,Female,30/11/2013,UK107189201705,30/11/2013,0 yrs  0 mths,,,,,,08/08/2019,No,,,,,89,
209018450,17,UK107189702137,N/A,HOLSTEIN FRIESIAN,Female,27/12/2013,UK107053200502,27/12/2013,0 yrs  0 mths,,16/07/2020,Linden Foods,,,08/08/2019,No,,,,,79,
209018451,30,UK107189102138,N/A,HOLSTEIN FRIESIAN,Female,16/01/2014,UK107189301321,16/01/2014,0 yrs  0 mths,,,,,,08/08/2019,No,,,,,88,
209018452,110,UK107189102145,N/A,HOLSTEIN FRIESIAN,Female,26/01/2014,UK107189401532,26/01/2014,0 yrs  0 mths,,,,,,08/08/2019,No,,,,,88,
209018454,193,UK107189102180,N/A,HOLSTEIN FRIESIAN,Female,12/04/2014,UK107189700835,12/04/2014,0 yrs  0 mths,,16/07/2020,Linden Foods,,,08/08/2019,No,,,,,76,
209018455,46,UK107189402183,N/A,HOLSTEIN FRIESIAN,Female,16/04/2014,UK107189501379,16/04/2014,0 yrs  0 mths,,,,,,08/08/2019,No,,,,,85,
209018417,459,UK107189201768,N/A,MONTBELIARDE X,Female,29/01/2012,UK107189501386,30/04/2014,2 yrs  3 mths,,16/07/2020,Linden Foods,,,08/08/2019,No,,,,,103,
209018420,463,UK107189101795,N/A,HOLSTEIN FRIESIAN,Female,29/02/2012,UK107189201040,30/04/2014,2 yrs  2 mths,,,,,,08/08/2019,No,,,,,111,
209018422,54,UK107189301811,N/A,Holstein,Female,29/03/2012,UK107189200536,30/04/2014,2 yrs  1 mths,,,,,,08/08/2019,No,,,,,110,
209018423,218,UK107189601814,N/A,Holstein,Female,07/04/2012,UK107189201236,30/04/2014,2 yrs  0 mths,,,,12/03/2021,Warrens Deadstock,08/08/2019,No,,,,,108,
209018424,112,UK107189401840,N/A,HOLSTEIN FRIESIAN,Female,29/05/2012,UK107189101123,30/04/2014,1 yrs  11 mths,,,,,,08/08/2019,No,,,,,108,
209018425,144,UK107189401847,N/A,HOLSTEIN X,Female,19/06/2012,UK107189401259,30/04/2014,1 yrs  10 mths,,25/05/2020,Linden Foods,,,08/08/2019,No,,,,,96,
209018456,186,UK107189602199,N/A,HOLSTEIN FRIESIAN,Female,26/05/2014,UK107189301580,26/05/2014,0 yrs  0 mths,,,,,,08/08/2019,No,,,,,84,
209018457,249,UK107189402204,N/A,HOLSTEIN FRIESIAN,Female,06/06/2014,UK107189301573,06/06/2014,0 yrs  0 mths,,,,02/09/2020,Warrens,08/08/2019,No,,,,,76,
209018459,143,UK107189202209,N/A,HOLSTEIN FRIESIAN X,Female,28/06/2014,UK107189201019,28/06/2014,0 yrs  0 mths,,29/10/2020,Linden Foods,,,08/08/2019,No,,,,,77,
209018463,50,UK107189102243,N/A,HOLSTEIN FRIESIAN,Female,07/09/2014,UK107189100696,07/09/2014,0 yrs  0 mths,,,,,,08/08/2019,No,,,,,80,
209018467,243,UK107189702291,N/A,HOLSTEIN FRIESIAN,Female,17/10/2014,UK107189201649,17/10/2014,0 yrs  0 mths,,,,,,08/08/2019,No,,,,,79,
