Ear Tag,Breed,Sex,Date Of Birth,Date Of Disposal,Disposed Of To,Date Of Death,Age(mths),
UK106386401081,Holstein,Female,01/05/2008,,,13/08/2019,137,
UK107189101452,HOLSTEIN FRIESIAN,Female,04/04/2010,,,,134,
UK107189101494,HOLSTEIN FRIESIAN,Female,09/07/2010,14/02/2020,SH2056 QUARRY COTTAGES,,116,
UK107189201369,HOLSTEIN FRIESIAN,Female,17/10/2009,,,27/11/2019,123,
UK107189501379,HOLSTEIN FRIESIAN,Female,10/11/2009,30/07/2020,Linden Foods,,130,
UK107189701745,MONTBELIARDE X,Female,30/11/2011,11/11/2020,Linden Foods,,108,
UK107189101781,Holstein,Female,07/02/2012,,,29/10/2019,94,
UK107189301804,Holstein,Female,15/03/2012,,,30/03/2020,97,
UK107189601604,MONTBELIARDE X,Female,21/02/2011,14/02/2020,SH2056 QUARRY COTTAGES,,109,
UK107189501869,Holstein,Female,01/08/2012,,,13/11/2020,100,
UK107189701892,HOLSTEIN FRIESIAN,Female,28/09/2012,06/12/2019,SH2056 QUARRY COTTAGES,,87,
UK107189501939,HOLSTEIN FRIESIAN,Female,15/12/2012,11/11/2020,Linden Foods,,96,
UK107189701941,HOLSTEIN FRIESIAN,Female,18/12/2012,24/04/2020,Linden Foods,,89,
UK107189201985,HOLSTEIN FRIESIAN,Female,02/03/2013,,,20/10/2020,92,
UK107189301993,HOLSTEIN FRIESIAN,Female,23/03/2013,24/04/2020,Linden Foods,,86,
UK107189501568,MONTBELIARDE X,Female,02/12/2010,,,21/11/2019,109,
UK107189101599,HOLSTEIN FRIESIAN,Female,07/02/2011,,,27/01/2020,109,
UK107189101620,HOLSTEIN FRIESIAN,Female,19/03/2011,06/12/2019,SH2056 QUARRY COTTAGES,,106,
UK107189101627,HOLSTEIN FRIESIAN,Female,27/03/2011,06/12/2019,SH2056 QUARRY COTTAGES,,105,
UK107189201628,HOLSTEIN FRIESIAN,Female,02/04/2011,24/04/2020,Linden Foods,,110,
UK107189401679,HOLSTEIN FRIESIAN,Female,11/07/2011,,,,118,
UK107189601681,HOLSTEIN FRIESIAN,Female,14/07/2011,24/04/2020,Linden Foods,,106,
UK107189102026,HOLSTEIN FRIESIAN X,Female,10/06/2013,,,,95,
UK107189202027,HOLSTEIN FRIESIAN,Female,11/06/2013,14/02/2020,SH2056 QUARRY COTTAGES,,81,
UK107189402029,HOLSTEIN FRIESIAN,Female,18/06/2013,17/04/2020,Linden Foods,,83,
UK107189602038,HOLSTEIN FRIESIAN,Female,05/07/2013,,,07/01/2021,91,
UK107189502114,HOLSTEIN FRIESIAN,Female,30/11/2013,,,,89,
UK107189402134,HOLSTEIN FRIESIAN,Female,25/12/2013,06/12/2019,SH2056 QUARRY COTTAGES,,72,
UK107189702137,HOLSTEIN FRIESIAN,Female,27/12/2013,16/07/2020,Linden Foods,,79,
UK107189102138,HOLSTEIN FRIESIAN,Female,16/01/2014,,,,88,
UK107189102145,HOLSTEIN FRIESIAN,Female,26/01/2014,,,,87,
UK107189102180,HOLSTEIN FRIESIAN,Female,12/04/2014,16/07/2020,Linden Foods,,76,
UK107189402183,HOLSTEIN FRIESIAN,Female,16/04/2014,,,,85,
UK107189301748,HOLSTEIN FRIESIAN,Female,06/12/2011,17/04/2020,Linden Foods,,101,
UK107189201768,MONTBELIARDE X,Female,29/01/2012,16/07/2020,Linden Foods,,103,
UK107189101774,HOLSTEIN FRIESIAN,Female,31/01/2012,06/12/2019,SH2056 QUARRY COTTAGES,,95,
UK107189101795,HOLSTEIN FRIESIAN,Female,29/02/2012,,,,111,
UK107189301811,Holstein,Female,29/03/2012,,,,110,
UK107189601814,Holstein,Female,07/04/2012,,,12/03/2021,108,
UK107189401840,HOLSTEIN FRIESIAN,Female,29/05/2012,,,,108,
UK107189401847,HOLSTEIN X,Female,19/06/2012,25/05/2020,Linden Foods,,96,
UK107189602199,HOLSTEIN FRIESIAN,Female,26/05/2014,,,,83,
UK107189402204,HOLSTEIN FRIESIAN,Female,06/06/2014,,,02/09/2020,76,
UK107189202209,HOLSTEIN FRIESIAN X,Female,28/06/2014,29/10/2020,Linden Foods,,77,
UK107189102243,HOLSTEIN FRIESIAN,Female,07/09/2014,,,,80,
UK107189702291,HOLSTEIN FRIESIAN,Female,17/10/2014,,,,78,
UK107189602003,HOLSTEIN FRIESIAN,Female,10/04/2013,06/12/2019,SH2056 QUARRY COTTAGES,,81,
UK107189302035,HOLSTEIN FRIESIAN,Female,29/06/2013,,,,94,
UK107189202048,HOLSTEIN FRIESIAN,Female,23/07/2013,,,20/10/2020,88,
UK107189202055,HOLSTEIN FRIESIAN,Female,19/08/2013,14/02/2020,SH2056 QUARRY COTTAGES,,79,
UK107189402057,Swedish Red X,Female,22/08/2013,,,19/11/2020,88,
UK107189602059,HOLSTEIN FRIESIAN,Female,24/08/2013,29/11/2019,SH2056 QUARRY COTTAGES,,76,
UK107189702060,HOLSTEIN FRIESIAN,Female,24/08/2013,,,,92,
UK107189602066,HOLSTEIN FRIESIAN,Female,30/08/2013,11/11/2020,Linden Foods,,87,
UK107189202076,HOLSTEIN FRIESIAN,Female,03/10/2013,,,,91,
UK107189402127,HOLSTEIN FRIESIAN,Female,16/12/2013,,,,89,
